decks,cards,trials,completed,cycle_rate,cap_rate,mean_plays,median_plays,p90_plays,avg_75_entries,avg_majority_reversals,avg_meaningful_swings,big_comeback_rate
0.07407407407407407,4,10000,9759,0.0241,0.0,2.870683471667179,3,5.0,0.40034839635208525,0.007070396557024286,0.18977354237114458,0.0426273183727841
0.09259259259259259,5,10000,9734,0.0266,0.0,3.604376412574481,3.0,6.0,0.335319498664475,0.15173618245325662,0.18204232586809121,0.022190260941031437
0.1111111111111111,6,10000,9738,0.0262,0.0,4.610392277675087,4.0,8.0,0.30047237625795853,0.06520846169644691,0.09344834668309715,0.011295953994660095
0.12962962962962962,7,10000,9769,0.0231,0.0,5.518476814412939,5,10.0,0.26420309141160814,0.2912273518272085,0.07892312416828744,0.010543556146995599
0.14814814814814814,8,10000,9777,0.0223,0.0,6.926766901912652,5,14.0,0.6381303058197811,0.16405850465377927,0.3338447376495858,0.05114043162524292
0.16666666666666666,9,10000,9801,0.0199,0.0,8.283032343638403,6,17.0,0.5720844811753902,0.4817875726966636,0.2206917661463116,0.03856749311294766
0.18518518518518517,10,10000,9829,0.0171,0.0,9.745650625699462,7,20.0,0.5264014650523959,0.2652355275206023,0.35751348051683796,0.03255671991046902
0.2037037037037037,11,10000,9846,0.0154,0.0,11.489640463132236,8.0,23.0,0.5317895592118627,0.6278691854560228,0.30865326020719075,0.03219581555961812
0.2222222222222222,12,10000,9870,0.013,0.0,13.600607902735563,9.0,28.0,0.903242147922999,0.4105369807497467,0.3961499493414387,0.07082066869300911
0.24074074074074073,13,10000,9913,0.0087,0.0,15.299808332492686,11,31.0,0.8807626349238374,0.8229597498234641,0.5015636033491375,0.06869766972662161
0.25925925925925924,14,10000,9905,0.0095,0.0,17.73831398283695,12,36.0,0.8731953558808683,0.567794043412418,0.4463402322059566,0.05653710247349823
0.2777777777777778,15,10000,9923,0.0077,0.0,19.733245994154995,14,40.0,0.8697974402902348,1.0147132923511035,0.5803688400685276,0.054419026504081425
0.2962962962962963,16,10000,9946,0.0054,0.0,21.658656746430726,15.5,43.0,1.2384878343052483,0.7036999798914136,0.6505127689523427,0.09209732555801327
0.3148148148148148,17,10000,9954,0.0046,0.0,24.935503315250152,18.0,50.0,1.252762708458911,1.2055455093429777,0.5564597146875628,0.09091822382961623
0.3333333333333333,18,10000,9963,0.0037,0.0,27.30663454782696,20,53.0,1.2212185084813811,0.8498444243701696,0.6978821640068252,0.0796948710227843
0.35185185185185186,19,10000,9963,0.0037,0.0,30.207869115728194,22,61.0,1.22021479474054,1.3623406604436414,0.597510789922714,0.07377295995182175
0.37037037037037035,20,10000,9978,0.0021,0.0001,32.64481860092203,24.0,65.0,1.6050310683503708,0.9967929444778513,0.9231308879534977,0.11775906995389858
0.3888888888888889,21,10000,9994,0.0006,0.0,35.436561937162296,27.0,70.0,1.5901540924554733,1.5479287572543525,0.7620572343406044,0.1002601560936562
0.4074074074074074,22,10000,9990,0.001,0.0,38.74994994994995,29.0,77.0,1.5953953953953954,1.1465465465465465,0.7181181181181181,0.1002002002002002
0.42592592592592593,23,10000,9987,0.0011,0.0002,41.99719635526184,32,82.0,1.585661359767698,1.7103234204465805,0.8494042254931411,0.09512366075898668
0.4444444444444444,24,10000,9994,0.0006,0.0,45.33550130078047,34.0,89.0,1.9700820492295377,1.2873724234540724,0.907944766860116,0.13368020812487494
0.46296296296296297,25,10000,9998,0.0001,0.0001,48.067813562712544,36.0,95.0,1.9431886377275456,1.9027805561112223,1.0017003400680136,0.1224244848969794
0.48148148148148145,26,10000,9997,0.0003,0.0,51.48464539361809,39,102.0,1.938781634490347,1.3802140642192657,0.896368910673202,0.11483445033510054
0.5,27,10000,10000,0.0,0.0,55.8978,42.0,113.0,1.9564,2.042,0.8241,0.1141
0.5185185185185185,28,10000,10000,0.0,0.0,58.433,44.0,116.0,2.2778,1.5434,1.0676,0.1449
0.5370370370370371,29,10000,10000,0.0,0.0,62.084,47.0,123.0,2.2989,2.1584,0.9597,0.1412
0.5555555555555556,30,10000,9999,0.0001,0.0,66.37603760376038,51,131.0,2.264126412641264,1.6984698469846984,1.128012801280128,0.134013401340134
0.5740740740740741,31,10000,10000,0.0,0.0,69.8367,53.0,138.0,2.2522,2.3558,0.9932,0.1245
0.5925925925925926,32,10000,10000,0.0,0.0,73.4742,56.0,147.0,2.5976,1.7989,1.0639,0.1612
0.6111111111111112,33,10000,10000,0.0,0.0,78.499,60.0,154.0,2.5856,2.5306,1.1765,0.1502
0.6296296296296297,34,10000,10000,0.0,0.0,82.1486,63.0,161.0,2.5717,1.9307,1.065,0.1434
0.6481481481481481,35,10000,10000,0.0,0.0,87.0442,67.0,172.0,2.5843,2.6849,1.1936,0.1446
0.6666666666666666,36,10000,10000,0.0,0.0,92.3957,71.0,184.0,2.9256,2.0903,1.2318,0.1772
0.6851851851851852,37,10000,10000,0.0,0.0,96.8289,74.0,192.0,2.9015,2.8684,1.1344,0.1674
0.7037037037037037,38,10000,10000,0.0,0.0,101.8803,78.0,205.0,2.8929,2.2334,1.2552,0.1675
0.7222222222222222,39,10000,10000,0.0,0.0,105.8006,82.0,211.0,2.8934,2.9478,1.1451,0.1602
0.7407407407407407,40,10000,10000,0.0,0.0,110.4323,86.0,218.0,3.176,2.3652,1.3912,0.184
0.7592592592592593,41,10000,10000,0.0,0.0,116.5023,89.0,231.0,3.1826,3.145,1.2787,0.1773
0.7777777777777778,42,10000,10000,0.0,0.0,120.9321,94.0,238.0,3.171,2.4564,1.2153,0.1731
0.7962962962962963,43,10000,10000,0.0,0.0,125.9564,97.0,251.0,3.1566,3.3217,1.3012,0.1734
0.8148148148148148,44,10000,10000,0.0,0.0,132.412,102.0,263.10000000000036,3.4571,2.6317,1.3339,0.1938
0.8333333333333334,45,10000,10000,0.0,0.0,139.0568,108.0,274.0,3.4904,3.5023,1.4371,0.1934
0.8518518518518519,46,10000,10000,0.0,0.0,143.8784,112.0,284.0,3.4576,2.773,1.3785,0.1886
0.8703703703703703,47,10000,10000,0.0,0.0,149.1491,116.0,296.0,3.4224,3.6325,1.2553,0.1779
0.8888888888888888,48,10000,10000,0.0,0.0,154.8664,121.0,302.0,3.7225,2.8791,1.4728,0.2097
0.9074074074074074,49,10000,10000,0.0,0.0,160.4263,125.0,316.0,3.6962,3.7782,1.3602,0.1984
0.9259259259259259,50,10000,10000,0.0,0.0,166.3701,130.0,333.0,3.6747,2.9977,1.4871,0.1943
0.9444444444444444,51,10000,10000,0.0,0.0,169.0627,132.5,329.0,3.6404,3.8302,1.3365,0.1776
0.9629629629629629,52,10000,10000,0.0,0.0,179.7364,142.0,350.0,3.9875,3.1551,1.428,0.2155
0.9814814814814815,53,10000,10000,0.0,0.0,181.5909,143.0,354.10000000000036,3.9155,4.0077,1.442,0.1968
1.0,54,10000,10000,0.0,0.0,187.8419,149.0,362.0,3.8536,3.1986,1.3831,0.1912
