total_flow,mode,replications,mean_delay,mcse,ci95_half_width
400,AWSC,20,4.0985,0.0233,0.0457
400,AWSC,40,4.0979,0.0166,0.0324
400,AWSC,80,4.1069,0.0113,0.0222
400,AWSC,160,4.1003,0.0075,0.0147
400,AWSC,320,4.1119,0.0054,0.0106
400,Signal,20,13.9072,0.1318,0.2583
400,Signal,40,13.8479,0.0966,0.1893
400,Signal,80,13.7984,0.0733,0.1437
400,Signal,160,13.782,0.053,0.1039
400,Signal,320,13.7771,0.0386,0.0757
1400,AWSC,20,9.9355,0.2103,0.4123
1400,AWSC,40,9.9282,0.1524,0.2987
1400,AWSC,80,9.8721,0.1208,0.2368
1400,AWSC,160,9.8337,0.0848,0.1662
1400,AWSC,320,9.8711,0.0627,0.1229
1400,Signal,20,16.4475,0.1089,0.2135
1400,Signal,40,16.2892,0.0856,0.1678
1400,Signal,80,16.2688,0.0618,0.1212
1400,Signal,160,16.2448,0.039,0.0765
1400,Signal,320,16.2516,0.0266,0.0521
1600,AWSC,20,20.9892,1.4277,2.7984
1600,AWSC,40,22.5208,1.5271,2.9931
1600,AWSC,80,21.8344,0.8863,1.7371
1600,AWSC,160,20.9708,0.5893,1.1551
1600,AWSC,320,20.5358,0.3732,0.7315
1600,Signal,20,16.931,0.1051,0.206
1600,Signal,40,16.9354,0.0621,0.1218
1600,Signal,80,16.9225,0.0466,0.0913
1600,Signal,160,16.9351,0.0353,0.0692
1600,Signal,320,16.9045,0.0274,0.0538
1800,AWSC,20,164.7379,13.2293,25.9294
1800,AWSC,40,154.2014,9.0837,17.8041
1800,AWSC,80,154.9102,6.4649,12.6711
1800,AWSC,160,158.8252,4.3313,8.4894
1800,AWSC,320,154.5002,3.0544,5.9866
1800,Signal,20,17.6894,0.0894,0.1752
1800,Signal,40,17.6087,0.0667,0.1306
1800,Signal,80,17.6739,0.047,0.0921
1800,Signal,160,17.6824,0.0372,0.0728
1800,Signal,320,17.6964,0.0278,0.0545
interpolated_crossover,AWSC_minus_Signal,20,1523.21,,
interpolated_crossover,AWSC_minus_Signal,40,1506.49,,
interpolated_crossover,AWSC_minus_Signal,80,1513.13,,
interpolated_crossover,AWSC_minus_Signal,160,1522.74,,
interpolated_crossover,AWSC_minus_Signal,320,1527.46,,
